"","gene_id","gene_short_name","gene_name","X4","chromosome","start","end","X8","X9","X10","X11","WT_mean_FPKM","WT_se_FPKM","Ref5_mean_FPKM","Ref5_se_FPKM","Ref2_mean_FPKM","Ref2_se_FPKM","Med5_mean_FPKM","Med5_se_FPKM","Ref5Med5_mean_FPKM","Ref5Med5_se_FPKM","Ref2Med5_mean_FPKM","Ref2Med5_se_FPKM"
"151","AT3G48340","CEP2","cysteine endopeptidase 2",1846,"Chr3",17897506,17899351,"Cysteine proteinases superfamily protein;(source:Araport11)","KDEL-tailed cysteine endopeptidase. Mutants generated via RNAi show decreased lateral root growth.","Cysteine proteinases superfamily protein","CEP2",0.062,0.031,0.379,0.097,0.034,0.019,0.046,0.031,1.113,0.165,0,0
"152","AT3G48690","CXE12","",1189,"Chr3",18037046,18038234,"alpha/beta-Hydrolases superfamily protein;(source:Araport11)","Encodes a protein with carboxylesterase whose activity was tested using both pNA and 2,4-D-methyl.","alpha/beta-Hydrolases superfamily protein","ATCXE12, CXE12",56.715,5.927,88.489,2.797,70.594,4.729,54.483,1.614,78.185,1.468,60.113,4.11
"153","AT3G48920","MYB45","myb domain protein 45",1601,"Chr3",18139172,18140772,"myb domain protein 45;(source:Araport11)","Member of the R2R3 factor gene family.","myb domain protein 45","AtMYB45, MYB45",0.064,0.032,0.276,0.075,0.153,0.078,0.018,0.018,0.442,0.149,0.222,0.068
"154","AT3G51895","SULTR3;1","sulfate transporter 3;1",4636,"Chr3",19251287,19255922,"sulfate transporter 3;(source:Araport11)","Encodes a chloroplast-localized sulfate transporter.","sulfate transporter 3;1","AST12, SULTR3;1",20.896,1.459,29.702,4.283,16.369,2.349,20.679,0.986,31.033,0.705,21.352,0.691
"155","AT3G52780","PAP20","",3091,"Chr3",19561260,19564350,"Purple acid phosphatases superfamily protein;(source:Araport11)","","Purple acid phosphatases superfamily protein","ATPAP20, PAP20",0,0,0.155,0.023,0,0,0.01,0.01,0.3,0.079,0,0
"156","AT3G55610","P5CS2","delta 1-pyrroline-5-carboxylate synthase 2",5276,"Chr3",20624020,20629295,"delta 1-pyrroline-5-carboxylate synthase 2;(source:Araport11)","encodes delta 1-pyrroline-5-carboxylate synthetase B. Gene expression is induced by dehydration, high salt and ABA. Knock-out mutations in P5CS2 are embryo-lethal. P5CS2 appears to be present in different cells and/or different subcellular locations from P5CS1 in a tissue-dependent manner.   Mutants are defective in pollen development.","delta 1-pyrroline-5-carboxylate synthase 2","P5CS2",53.33,1.404,66.659,2.242,56.296,3.261,45.953,2.554,64.998,3.49,47.902,0.461
"157","AT3G57010","AT3G57010","",1882,"Chr3",21095600,21097481,"Calcium-dependent phosphotriesterase superfamily protein;(source:Araport11)","","Calcium-dependent phosphotriesterase superfamily protein","",3.621,0.252,7.053,0.156,3.12,0.267,4.558,0.315,6.717,0.339,4.431,0.2
"158","AT3G57020","AT3G57020","",2205,"Chr3",21098315,21100519,"Calcium-dependent phosphotriesterase superfamily protein;(source:Araport11)","","Calcium-dependent phosphotriesterase superfamily protein","",38.283,0.8,70.872,1.159,44.504,2.152,33.254,0.429,48.95,2.168,28.265,1.22
"159","AT3G58190","LBD29","lateral organ boundaries-domain 29",1089,"Chr3",21548484,21549572,"lateral organ boundaries-domain 29;(source:Araport11)","This gene contains two auxin-responsive element (AuxRE).","lateral organ boundaries-domain 29","ASL16, LBD29",0,0,0.339,0.063,0,0,0,0,0.468,0.018,0,0
"160","AT3G58550","AT3G58550","",984,"Chr3",21649364,21650347,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","",0.072,0.049,1.228,0.322,0.217,0.019,0.039,0.039,0.84,0.193,0.041,0.041
"161","AT3G59140","ABCC10","ATP-binding cassette C10",5689,"Chr3",21863348,21869036,"multidrug resistance-associated protein 14;(source:Araport11)","member of MRP subfamily","multidrug resistance-associated protein 14","ABCC10, ATMRP14, MRP14",9.064,0.693,12.07,1.184,10.447,0.763,8.718,0.197,14.118,1.224,11.747,0.429
"162","AT3G59900","ARGOS","AUXIN-REGULATED GENE INVOLVED IN ORGAN SIZE",968,"Chr3",22129505,22130472,"auxin-regulated gene involved in organ size;(source:Araport11)","Encodes ARGOS (Auxin-Regulated Gene Involved in Organ Size).  Inducible by auxin.  Involved in lateral organ size control. Transgenic plants expressing sense or antisense ARGOS cDNA display enlarged or reduced aerial organs, respectively. The alteration in organ size is attributable mainly to changes in cell number and the duration of organ growth.","auxin-regulated gene involved in organ size","ARGOS",1.56,0.193,3.096,0.488,1.552,0.212,1.724,0.333,4.404,0.631,1.908,0.246
"163","AT3G60650","AT3G60650","",1403,"Chr3",22419115,22420517,"transmembrane protein;(source:Araport11)","Encodes a peptide involved in the regulation of lateral root development and root growth pattern.","","",0.039,0.039,0.926,0.302,0.163,0.043,0.044,0.044,0.525,0.19,0.314,0.052
"164","AT3G61890","HB-12","homeobox 12",1240,"Chr3",22914154,22915393,"homeobox 12;(source:Araport11)","Encodes a homeodomain leucine zipper class I (HD-Zip I) protein. Loss of function mutant has abnormally shaped leaves and stems.","homeobox 12","ATHB-12, ATHB12, HB-12, HB12",18.753,1.9,32.298,3.804,16.979,0.634,14.345,1.765,22.551,1.391,17.602,0.878
"165","AT3G61900","AT3G61900","",638,"Chr3",22925742,22926379,"SAUR-like auxin-responsive protein family;(source:Araport11)","","SAUR-like auxin-responsive protein family ","SAUR33",0.316,0.09,0.928,0.294,0.253,0.021,0.179,0.068,0.629,0.138,0.422,0.164
"166","AT3G61990","OMTF3","O-MTase family 3 protein",1965,"Chr3",22957054,22959018,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)","Encodes a protein methyltransferase. Involved in the methylation of plant transmembrane proteins.","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","OMTF3",3.259,0.131,4.733,0.228,3.476,0.215,2.415,0.275,4.919,0.292,3.083,0.189
"167","AT3G63210","AT3G63210","",1967,"Chr3",23353514,23355480,"mediator of aba-regulated dormancy protein (DUF581);(source:Araport11)","encodes a novel zinc-finger protein with a  proline-rich N-terminus, identical to senescence-associated protein SAG102","Protein of unknown function (DUF581)","MARD1",8.645,0.494,13.011,0.437,8.157,0.626,8.445,1.496,12.327,0.709,12.1,1.25
"168","AT4G00050","UNE10","unfertilized embryo sac 10",2545,"Chr4",17639,20183,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","PIF8, UNE10",23.064,1.198,31.989,1.717,27.559,1.478,18.217,0.495,28.296,1.363,20.803,0.528
"169","AT4G01070","GT72B1","",2044,"Chr4",461513,463556,"UDP-Glycosyltransferase superfamily protein;(source:Araport11)","the glycosyltransferase (UGT72B1) is involved in metabolizing xenobiotica (chloroaniline and chlorophenole). Comparison between wild type and knock-out mutant demonstrates the central role of this gene for metabolizing chloroaniline but significantly less for chlorophenole. The glucosyltransferase preferred UDP-xylose over UDP-glucose indicating its (additional) functioning as a xylosyltransferase in planta","UDP-Glycosyltransferase superfamily protein","GT72B1, UGT72B1",47.792,4.731,77.831,4.27,51.641,3.943,48.165,2.805,70.327,2.263,41.682,0.491
"170","AT4G02050","STP7","sugar transporter protein 7",2766,"Chr4",898307,901072,"sugar transporter protein 7;(source:Araport11)","STP7 is a monosaccharide/H+ symporter that transports arabinose and xylose.","sugar transporter protein 7","STP7",6.97,0.257,9.495,0.509,8.664,0.627,6.6,0.553,9.342,0.482,7.439,0.243
"171","AT4G02280","SUS3","sucrose synthase 3",4266,"Chr4",994726,998991,"sucrose synthase 3;(source:Araport11)","Encodes a protein with sucrose synthase activity (SUS3). It appears to be important for sucrose metabolism in developing seeds, especially during the late maturation phase, about 18 days after flowering.","sucrose synthase 3","ATSUS3, SUS3",1.432,0.172,3.259,0.174,1.265,0.119,1.073,0.133,2.173,0.123,0.948,0.11
"172","AT4G03820","AT4G03820","",2700,"Chr4",1771833,1774532,"transmembrane protein, putative (DUF3537);(source:Araport11)","","Protein of unknown function (DUF3537)","",4.083,0.351,5.78,0.21,5.204,0.311,3.786,0.252,5.194,0.147,4.539,0.207
"173","AT4G08290","UMAMIT20","Usually multiple acids move in and out Transporters 20",2340,"Chr4",5238773,5241112,"nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)","nodulin MtN21-like transporter family protein","nodulin MtN21 /EamA-like transporter family protein","UMAMIT20",19.892,2.426,30.369,3.793,17.256,1.227,19.413,1.721,34.922,1.071,17.799,1.098
"174","AT4G11190","AT4G11190","",803,"Chr4",6826587,6827389,"Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11)","","Disease resistance-responsive (dirigent-like protein) family protein","",3.212,0.437,7.928,0.657,2.325,0.188,2.03,0.359,6.762,0.777,3.499,0.193
"175","AT4G13280","TPS12","terpenoid synthase 12",3632,"Chr4",7733114,7736745,"terpenoid synthase 12;(source:Araport11)","Catalyzes the conversion of farnesyl diphosphate to (Z)-gamma-bisabolene and the additional minor products E-nerolidol and alpha-bisabolol. Expressed in cortex and sub-epidermal layers of roots, leaf hydathodes and flower stigmata. Induced by wounding.","terpenoid synthase 12","ATTPS12, TPS12",0.136,0.045,1.635,0.266,0.132,0.051,0.02,0.02,1.252,0.257,0.253,0.097
"176","AT4G13290","CYP71A19","cytochrome P450, family 71, subfamily A, polypeptide 19",2853,"Chr4",7740283,7743135,"cytochrome P450, family 71, subfamily A, polypeptide 19;(source:Araport11)","putative cytochrome P450","cytochrome P450, family 71, subfamily A, polypeptide 19","CYP71A19",0.149,0.037,1.076,0.198,0.153,0.04,0.014,0.014,0.975,0.093,0.135,0.031
"177","AT4G13660","PRR2","pinoresinol reductase 2",2761,"Chr4",7945683,7948443,"pinoresinol reductase 2;(source:Araport11)","Encodes a pinoresinol reductase involved in lignan biosynthesis. Expressed strongly in roots and less strongly in stems.  Shows preference for pinoresinol and not lariciresinol. The mRNA is cell-to-cell mobile.","pinoresinol reductase 2","ATPRR2, PRR2",0.171,0.009,0.956,0.053,0.193,0.072,0.074,0.02,0.841,0.05,0.208,0.089
"178","AT4G14060","AT4G14060","",1126,"Chr4",8107254,8108379,"Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)","","Polyketide cyclase/dehydrase and lipid transport superfamily protein","",0.056,0.032,2.217,0.564,0.169,0.085,0,0,1.227,0.123,0.064,0.038
"179","AT4G14465","AHL20","AT-hook motif nuclear-localized protein 20",1815,"Chr4",8320538,8322352,"AT-hook motif nuclear-localized protein 20;(source:Araport11)","","AT-hook motif nuclear-localized protein 20","AHL20",1.272,0.119,3.797,0.36,2.042,0.359,0.958,0.092,4.605,0.584,1.538,0.11
"180","AT4G14550","IAA14","indole-3-acetic acid inducible 14",2442,"Chr4",8347822,8350263,"indole-3-acetic acid inducible 14;(source:Araport11)","IAA14 is a member of the Aux/IAA protein family.   Involved in lateral root development. Gain of function mutation decreases auxin-inducible gene expression. Protein is localized to the nucleus. Expressed in stele and root tip epidermis. Functions as a negative regulator of ARF7/19.","indole-3-acetic acid inducible 14","IAA14, SLR",17.228,0.299,27.494,1.256,10.634,0.147,16.555,2.599,23.822,1.006,14.676,0.39
"181","AT4G14560","IAA1","indole-3-acetic acid inducible",1038,"Chr4",8360996,8362033,"indole-3-acetic acid inducible;(source:Araport11)","auxin (indole-3-acetic acid) induced gene (IAA1) encoding a short-lived nuclear-localized transcriptional regulator protein. The mRNA is cell-to-cell mobile.","indole-3-acetic acid inducible","AXR5, IAA1",21.364,1.288,43.099,1.94,17.411,1.467,14.87,1.194,28.383,1.977,15.231,0.726
"182","AT4G14819","AT4G14819","",527,"Chr4",8507263,8507789,"hypothetical protein (DUF1677);(source:Araport11)","","Protein of unknown function (DUF1677)","",1.843,0.335,5.082,0.689,0.644,0.024,1.07,0.44,3.234,0.313,1.218,0.304
"183","AT4G15160","AT4G15160","",1103,"Chr4",8646150,8647252,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","",0.28,0.053,7.646,0.71,0.231,0.099,0.393,0.184,23.891,2.152,0.249,0.077
"184","AT4G15765","AT4G15765","",2172,"Chr4",8975280,8977451,"FAD/NAD(P)-binding oxidoreductase family protein;(source:Araport11)","","FAD/NAD(P)-binding oxidoreductase family protein","",4.282,0.617,8.461,0.943,4.829,0.782,3.079,0.266,6.918,0.164,4.467,0.454
"185","AT4G16515","RGF6","root meristem growth factor 6",680,"Chr4",9305166,9305845,"root meristem growth factor;(source:Araport11)","Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).","","CLEL 6, GLV1, RGF6",11.935,0.497,19.528,0.318,6.461,1.362,8.374,0.126,16.957,2.05,7.588,0.858
"186","AT4G17695","KAN3","KANADI 3",2995,"Chr4",9847933,9850927,"Homeodomain-like superfamily protein;(source:Araport11)","","Homeodomain-like superfamily protein","KAN3",3.364,0.121,4.76,0.166,4.365,0.286,3.269,0.234,5.787,0.522,4.448,0.164
"187","AT4G19200","AT4G19200","",2062,"Chr4",10498748,10500809,"proline-rich family protein;(source:Araport11)","","proline-rich family protein","",67.216,3.996,107.739,2.927,72.289,3.623,81.554,6.353,109.02,8.751,78.225,0.481
"188","AT4G19450","AT4G19450","",3068,"Chr4",10606324,10609391,"Major facilitator superfamily protein;(source:Araport11)","","Major facilitator superfamily protein","",17.242,1.066,22.421,1.162,18.539,0.867,15.029,0.598,19.805,0.678,16.936,0.212
"189","AT4G20240","CYP71A27","cytochrome P450, family 71, subfamily A, polypeptide 27",2903,"Chr4",10931335,10934237,"cytochrome P450, family 71, subfamily A, polypeptide 27;(source:Araport11)","putative cytochrome P450","cytochrome P450, family 71, subfamily A, polypeptide 27","CYP71A27",0.831,0.045,1.466,0.199,0.841,0.152,0.791,0.035,1.896,0.037,0.942,0.065
"190","AT4G22240","AT4G22240","",1620,"Chr4",11765803,11767422,"Plastid-lipid associated protein PAP / fibrillin family protein;(source:Araport11)","","Plastid-lipid associated protein PAP / fibrillin family protein","FBN1b",146.253,5.005,182.089,11.074,166.809,8.572,134.963,4.245,173.271,9.285,151.192,2.353
"191","AT4G23690","DIR6","dirigent protein 6",1139,"Chr4",12338829,12339967,"Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11)","Encodes a homodimeric all-beta dirigent protein in the superfamily of calycins.  Dirigent proteins impart stereoselectivity on the phenoxy radical coupling reaction yielding optically active lignans from two molecules of coniferyl alcohol.","Disease resistance-responsive (dirigent-like protein) family protein","AtDIR6, DIR6",6.021,0.208,10.01,1.173,3.569,0.545,5.593,0.074,15.514,1.393,5.703,0.153
"192","AT4G24275","AT4G24275","",900,"Chr4",12588378,12589277,"hypothetical protein;(source:Araport11)","Identified as a screen for stress-responsive genes.","","",8.007,0.519,13.96,1.271,5.611,0.802,5.332,0.362,12.546,0.893,5.788,0.364
"193","AT4G25420","GA20OX1","",1735,"Chr4",12990851,12992585,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)","Encodes gibberellin 20-oxidase that is involved in the later steps of the gibberellin biosynthetic pathway. Regulated by a circadian clock. Weak expression response to far red light.","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","AT2301, ATGA20OX1, GA20OX1, GA5",3.608,0.218,6.679,0.369,2.573,0.262,2.987,0.354,8.619,0.845,2.062,0.077
"194","AT4G25434","NUDT10","nudix hydrolase homolog 10",2368,"Chr4",13003568,13005935,"nudix hydrolase homolog 10;(source:Araport11)","","nudix hydrolase homolog 10","ATNUDT10, NUDT10",1.083,0.079,2.182,0.352,1.225,0.141,0.851,0.122,2.009,0.18,1.333,0.015
"195","AT4G29270","AT4G29270","",1272,"Chr4",14423627,14424898,"HAD superfamily, subfamily IIIB acid phosphatase;(source:Araport11)","","HAD superfamily, subfamily IIIB acid phosphatase ","",3.087,0.229,6.948,0.474,1.429,0.264,2.011,0.215,4.08,0.325,0.908,0.105
"196","AT4G33550","AT4G33550","",769,"Chr4",16134366,16135134,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","",6.397,1.27,15.103,1.349,2.07,0.103,7.045,1.262,11.743,1.251,4.031,0.426
"197","AT4G34000","ABF3","abscisic acid responsive elements-binding factor 3",2952,"Chr4",16295334,16298285,"abscisic acid responsive elements-binding factor 3;(source:Araport11)","Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.","abscisic acid responsive elements-binding factor 3","ABF3, AtABF3, DPBF5",26.41,3.083,48.116,9.143,18.928,0.751,24.628,4.24,38.22,3.314,31.173,2.522
"198","AT4G34230","CAD5","cinnamyl alcohol dehydrogenase 5",2310,"Chr4",16386631,16388940,"cinnamyl alcohol dehydrogenase 5;(source:Araport11)","Encodes a catalytically active cinnamyl alcohol dehydrogenase which uses p-coumaryl aldehyde as a preferred substrate. It can also use sinapyl, caffeyl, coniferyl and d-hydroxyconiferyl aldehydes as substrates.","cinnamyl alcohol dehydrogenase 5","ATCAD5, CAD-5, CAD5",18.432,2.397,29.542,2.696,16.005,2.06,21.851,2.911,34.51,1.277,22.946,1.012
"199","AT4G34550","AT4G34550","",1723,"Chr4",16502532,16504254,"F-box protein;(source:Araport11)","","","",6.983,0.596,12.456,2.41,8.921,1.202,3.287,0.291,6.916,1.274,3.724,0.348
"200","AT4G34600","AT4G34600","",1171,"Chr4",16529058,16530228,"transmembrane protein;(source:Araport11)","CAF2 is a peptide hormone expressed in the root stele that specifically binds the endodermis-expressed leucine-rich repeat receptor kinase GASSHO1 (GSO1)/SCHENGEN3 and its homolog, GSO2. Together with CAF1 it is required for formation of the casparian band.","","CIF2",3.463,0.598,5.923,0.499,2.079,0.511,2.852,0.106,5.816,0.947,4.229,0.185
"201","AT4G35060","HIPP25","heavy metal associated isoprenylated plant protein 25",1207,"Chr4",16685612,16686818,"Heavy metal transport/detoxification superfamily protein;(source:Araport11)","","Heavy metal transport/detoxification superfamily protein ","HIPP25",4.809,0.782,9.491,0.554,4.707,0.703,3.334,0.361,6.715,0.675,4.132,0.484
"202","AT4G37070","PLP1","",2593,"Chr4",17464594,17467186,"Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein;(source:Araport11)","Patatin-related phospholipase A. Expressed strongly  and exclusively in roots. AtplaIVA-null mutants have reduced lateral root development. Phosphorylation by calcium-dependent protein kinases in vitro  enhances its activity.","Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein","AtPLAIVA, PLA IVA, PLP1",0.018,0.009,0.257,0.075,0.089,0.043,0,0,0.191,0.037,0.023,0.011
"203","AT4G37180","AT4G37180","",2077,"Chr4",17504428,17506504,"Homeodomain-like superfamily protein;(source:Araport11)","UIF1 is a nuclear and cytoplasmically localized myb-domain containing member of the GARP G2-like subfamily of transcription factors. Interacts with ULT1 and binds to the WUS promoter. UIF1 binding domains are also found in CUC and AG promoters suggesting they are also direct targets.  This locus was also identified as a putative cytoskeletal protein in a yeast screen.","Homeodomain-like superfamily protein","HHO5, UIF1",29.308,0.224,37.496,0.802,33.054,0.459,27.638,0.977,35.043,1.783,28.685,1.453
"204","AT4G37310","CYP81H1","cytochrome P450, family 81, subfamily H, polypeptide 1",3206,"Chr4",17555899,17559104,"cytochrome P450, family 81, subfamily H, polypeptide 1;(source:Araport11)","member of CYP81H","cytochrome P450, family 81, subfamily H, polypeptide 1","CYP81H1",20.799,0.569,27.357,1.629,23.244,0.812,21.094,0.217,29.8,1.123,21.548,1.05
"205","AT4G37390","BRU6","",2405,"Chr4",17579618,17582022,"Auxin-responsive GH3 family protein;(source:Araport11)","Encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin. May function as a negative component in auxin signaling by regulating auxin activity.","Auxin-responsive GH3 family protein","AUR3, BRU6, GH3-2, GH3.2, YDK1",1.217,0.113,2.079,0.202,1.237,0.151,1.547,0.099,3.032,0.141,1.582,0.134
"206","AT4G37540","LBD39","LOB domain-containing protein 39",1533,"Chr4",17639393,17640925,"LOB domain-containing protein 39;(source:Araport11)","","LOB domain-containing protein 39","LBD39",27.032,1.615,39.819,2.815,31.853,3.275,31.512,1.498,41.884,2.958,29.617,1.683
"207","AT4G37760","SQE3","squalene epoxidase 3",2960,"Chr4",17743738,17746697,"squalene epoxidase 3;(source:Araport11)","","squalene epoxidase 3","SQE3",60.41,2.816,80.138,3.751,64.574,4.937,50.626,1.419,63.317,3.057,48.627,1.377
"208","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8",2079,"Chr4",17752079,17754157,"1-amino-cyclopropane-1-carboxylate synthase 8;(source:Araport11)","Encodes an auxin inducible ACC synthase.","1-amino-cyclopropane-1-carboxylate synthase 8","ACS8",0.172,0.031,0.883,0.113,0.152,0.013,0.093,0.035,1.818,0.157,0.152,0.04
"209","AT4G37890","EDA40","embryo sac development arrest 40",2398,"Chr4",17812698,17815095,"Zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)","","Zinc finger (C3HC4-type RING finger) family protein","EDA40",0.404,0.066,0.747,0.126,0.293,0.032,0.408,0.084,0.747,0.111,0.58,0.1
"210","AT5G01300","AT5G01300","",1043,"Chr5",121483,122525,"PEBP (phosphatidylethanolamine-binding protein) family protein;(source:Araport11)","","PEBP (phosphatidylethanolamine-binding protein) family protein","",0.483,0.168,1.593,0.274,0.481,0.134,0.263,0.105,1.083,0.159,0.563,0.119
"211","AT5G01520","AIRP2","ABA Insensitive RING Protein 2",2180,"Chr5",206432,208611,"RING/U-box superfamily protein;(source:Araport11)","Encodes a cytosolic RING-type E3 ubiquitin (Ub) ligase that is critical for ABA and high salinity responses during germination.  AtAIRP2 and SDIR1 likely play a combinatory role in ABA signaling and the response to high salt in Arabidopsis.","RING/U-box superfamily protein","AIRP2, AtAIRP2",6.45,0.594,11.666,0.348,4.709,0.363,4.696,0.525,6.635,0.469,6.218,0.084
"212","AT5G01720","AT5G01720","",4369,"Chr5",266278,270646,"RNI-like superfamily protein;(source:Araport11)","RAE1 is an F-box protein component of a SCF-type E3 ligase complex. It is part of an alumium induced regulatory loop: its activity is induced by STOP1 and it in turn ubiquitinates STOP1 which is then targeted for degradation.","RNI-like superfamily protein","RAE1",4.025,0.216,5.805,0.317,4.286,0.242,3.311,0.229,6.097,0.231,3.581,0.097
"213","AT5G01790","AT5G01790","",1236,"Chr5",304677,305912,"hypothetical protein;(source:Araport11)","","","",13.782,1.067,21.552,1.082,15.517,0.927,17.186,2.687,24.511,2.244,17.702,0.962
"214","AT5G03150","JKD","JACKDAW",3608,"Chr5",745421,749028,"C2H2-like zinc finger protein;(source:Araport11)","JKD is a nuclear-localized putative transcription factor of the BIRDS/IDD C2H2 zinc finger family. JKD and its homologue BIB, restrict SHR movement to a single layer, the endodermis, and delimit tissue boundaries in the root meristem through a process that involves nuclear retention through protein complex formation. JKD mutation leads to periclinal divisions in the cortex, increased cell numbers in the circumference of the cortical and epidermal layers, a disrupted QC marker expression pattern, and disorganized QC and columella cells. This effect is enhanced in jkd bib double mutants where tissue boundaries cannot be maintained due to excessive SHR movement. JKD and BIB restrict CYCIND6 expression to cortex and endodermis stem cells to prevent formative divisions in the ground tissue.  JKD physically interacts with cell fate determinants SCR and SHR in a cell type specific manner. Native FRET-FLIM analysis showed higher JKD-SCR complex in the endodermis and predominant JKD-SHR in the QC and cortex/endodermis stem cells. In addition, JKD, SCR and SHR form a ternary complex whose conformation is cell type dependent, conformational changes of this complex differentially regulate SCR and WOX5 expression to specify endodermal cell fate and QC function respectively. Its mRNA is cell-to-cell mobile.","C2H2-like zinc finger protein","JKD",2.999,0.158,4.674,0.105,2.712,0.25,4.336,0.332,6.468,0.477,4.011,0.146
"215","AT5G03435","AT5G03435","",2663,"Chr5",853293,855955,"Ca2+dependent plant phosphoribosyltransferase family protein;(source:Araport11)","","Ca2+dependent plant phosphoribosyltransferase family protein","MCTP13",0.046,0.011,0.158,0.012,0.078,0.018,0.06,0.012,0.29,0.014,0.15,0.036
"216","AT5G04970","AT5G04970","",3083,"Chr5",1464079,1467161,"Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)","","Plant invertase/pectin methylesterase inhibitor superfamily","",0.031,0.012,0.301,0.103,0.059,0.03,0.043,0.011,0.5,0.117,0.135,0.012
"217","AT5G05880","AT5G05880","",2211,"Chr5",1769527,1771737,"UDP-Glycosyltransferase superfamily protein;(source:Araport11)","Encodes a nicotinate-N-glycosyltransferase.","UDP-Glycosyltransferase superfamily protein","UGT76C4",0.237,0.022,0.592,0.1,0.147,0.038,0.197,0.045,0.571,0.03,0.335,0.09
"218","AT5G06760","LEA4-5","Late Embryogenesis Abundant 4-5",986,"Chr5",2089445,2090430,"Late Embryogenesis Abundant 4-5;(source:Araport11)","Encodes LEA4-5, a member of the Late Embryogenesis Abundant (LEA) proteins which typically accumulate in response to low water availability conditions imposed during development or by the environment. Most of the diverse set of LEA proteins can be grouped according to properties such as high hydrophilicity and high content of glycine or other small amino acids in what  has been termed hydrophilins.  LEA4-5 protects enzyme activities from the adverse effects induced by freeze-thaw cycles in vitro.","Late Embryogenesis Abundant 4-5","AtLEA4-5, LEA4-5",0.298,0.12,2.572,0.465,0.169,0.077,0.168,0.069,0.797,0.093,0.116,0.041
"219","AT5G06930","AT5G06930","",3826,"Chr5",2144525,2148350,"nucleolar-like protein;(source:Araport11)","","","",2.112,0.23,3.073,0.23,1.693,0.217,1.934,0.085,3.516,0.191,2.37,0.124
"220","AT5G09930","ABCF2","ATP-binding cassette F2",2737,"Chr5",3097555,3100291,"ABC transporter family protein;(source:Araport11)","member of GCN subfamily","ABC transporter family protein","ABCF2",0.637,0.153,2.296,0.324,0.348,0.031,0.232,0.062,0.628,0.186,0.243,0.082
"221","AT5G10770","AT5G10770","",2551,"Chr5",3403021,3405571,"Eukaryotic aspartyl protease family protein;(source:Araport11)","","Eukaryotic aspartyl protease family protein","",8.018,0.207,10.725,0.852,9.03,0.151,6.701,0.41,8.859,1.061,6.451,0.288
"222","AT5G14130","AT5G14130","",1612,"Chr5",4558704,4560315,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",0.011,0.011,0.228,0.01,0,0,0,0,0.651,0.054,0.012,0.012
"223","AT5G15160","BNQ2","BANQUO 2",1570,"Chr5",4921243,4922812,"BANQUO 2;(source:Araport11)","BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.","BANQUO 2","BHLH134, BNQ2",8.416,0.445,14.824,1.371,4.381,0.103,7.516,0.101,14.347,1.92,7.352,0.346
"224","AT5G18270","ANAC087","Arabidopsis NAC domain containing protein 87",2096,"Chr5",6040919,6043014,"NAC domain containing protein 87;(source:Araport11)","","Arabidopsis NAC domain containing protein 87","ANAC087",0.772,0.19,1.519,0.138,1.238,0.054,0.864,0.1,2.406,0.464,0.893,0.088
